Job Title,Salary Estimate,Job Description,Company Name
Data Scientist,Employer Provided Salary:$117K,"Become a Part of the NIKE, Inc. Team
NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game.
Analytics is a competitive differentiator for Nike and is fundamentally changing how the company serves athletes and consumers around the world. The Nike Commercial Analytics team builds analytic-based solutions to manage marketplace and optimize the supply chain. Using big data, advanced analytics and state-of-the-art technology, the team strives to ensure that Nike gets the right product to the right place at the right time for the consumers.","Nike
4.2"
NLP Data Scientist,$73K - $145K (Glassdoor est.),"About Us
Nativo empowers brands and publishers with the world's most advanced technology for content. For brands, we enable storytelling at scale with the largest native reach and insights that unlock return-on-content. For publishers, we enrich monetization with the most comprehensive platform for next-generation ad formats and breakthrough technology for accelerated web pages. Our mission is to equip advertising for the age of content, improving the open web experience and creating meaningful connections with today's digital consumer.","Nativo
4.0"
"Staff Data Scientist, Platform",Employer Provided Salary:$150K,"To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.
Job Category
Products and Technology
Job Details

Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records.
As a federal contractor, Salesforce is required to verify that all US-based employees are fully vaccinated against COVID-19. If you receive an offer and are unable to get vaccinated for religious or medical reasons, you may request a reasonable accommodation.","Slack
4.6"
Data Scientist - 100% Remote,Employer Provided Salary:$150K - $175K,"We have an immediate need for an experienced Data Scientist. This permanent position is 100% remote and offers competitive compensation (that will depend on level of experience) as well as an excellent benefits package.
Target Skills and Experience:
5+ years of Data Analytics experience while working as a Data Scientist.
Strong ability to analyze large amounts of data to discover trends and patterns and build predictive models and machine-learning algorithms to support decision making and quality improvement.
Strong ability to evaluate predictive models, including those developed by vendors or other data scientists, and produce actionable insights, strategies, and recommendations to business challenges.",BlueSky Technology Solutions
"Data Scientist, Operations Data Science",Employer Provided Salary:$95K,"Note: Google’s hybrid workplace includes remote and in-office roles. By applying to this position you will have an opportunity to share your preferred working location from the following:

In-office locations: Mountain View, CA, USA.
Remote location(s): United States.
Minimum qualifications:
Master's degree in Operations Research, Industrial Engineering, Statistics, related field, or equivalent practical experience.
2 years of relevant work experience (e.g., as a data scientist) or equivalent. Analytical engagements outside class work while at school can be included.
Experience with statistical software (e.g., R, Python) and database languages (e.g., SQL)



Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.","Google
4.5"
"Staff Data Scientist, Platform",Employer Provided Salary:$150K,"To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.
Job Category
Products and Technology
Job Details
We are looking for an experienced Data Scientist to support the Platform product area at Slack. The Platform ecosystem is a critical component of Slack’s strategy to become the place where work happens. It enables users to truly customize Slack and integrate their everyday tools to streamline and speed up work!

Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records.
As a federal contractor, Salesforce is required to verify that all US-based employees are fully vaccinated against COVID-19. If you receive an offer and are unable to get vaccinated for religious or medical reasons, you may request a reasonable accommodation.","Salesforce
4.5"
Causal Inference Data Scientist,Employer Provided Salary:$85 Per Hour,"Skills :
Advanced experimental design and Analysis
1. Multi Armed bandit
2. Quasi Experimental : Synthetic Cohaorts ,and observational studies
3. Ability to design experiments in real world settings.
Causal : Regression Discontinuity , Bayesian Techniques , Data wrangling .
Ability to mage Data sets from cloud and native applications :
3-5 Deep Statistical Knowledge",Spotline Inc
Sr. Data Scientist,$93K - $193K (Glassdoor est.),"Why PlayStation?
PlayStation isn't just the Best Place to Play — it's also the Best Place to Work. Today, we're recognized as a global leader in entertainment producing The PlayStation family of products and services including PlayStation®5, PlayStation®4, PlayStation®VR, PlayStation®Plus, PlayStation™Now, acclaimed PlayStation software titles from PlayStation Studios, and more.
PlayStation also strives to create an inclusive environment that empowers employees and embraces diversity. We welcome and encourage everyone who has a passion and curiosity for innovation, technology, and play to explore our open positions and join our growing global team.
The PlayStation brand falls under Sony Interactive Entertainment, a wholly-owned subsidiary of Sony Corporation.","PlayStation Global
4.0"
Senior Data Scientist,$98K - $200K (Glassdoor est.),"About Shift:
We believe car buying should be fun, fair, and accessible to everyone. We've set out to transform an industry, using technology to bring transparency and convenience to the car buying process.
And we aren't stopping there. We seek to bring that same openness and simplicity to car ownership too, with payments, maintenance, and insurance in one easy app. At Shift, we're building the tools that empower people to buy, own, and sell the cars that make life go.
About the role:","Shift
3.7"
Data Scientist,$82K - $169K (Glassdoor est.),"Do you want to change the world? We do, too.

Solar penetration is less than 1%, but just one hour of sunlight, if harnessed, could power the entire world for a year. We have the opportunity to change the way energy is produced, distributed and consumed, and we’re looking for talented, committed people to help us drive our growth and achieve our goals.

SunPower is a solar energy solutions company with a rich heritage of pioneering the best solar technologies in the world. Our solutions are unrivaled in terms of long-term reliability, efficiency, and performance. SunPower offers the only solar + storage solution designed and warranted by one company that gives customers control over electricity consumption. Through design, installation, maintenance, and monitoring, SunPower provides its world-class solar solutions to residential and commercial customers across the U.S.

SunPower is changing the way our world is powered every day with a brilliant, passionate, and driven team of more than 2,500 in North America and the Philippines. In an industry that is reshaping the world’s energy future, there’s no better place to be than SunPower.

We believe that our employees create our brand – with each project, each communication, each task completed and each interaction. SunPower welcomes the forward thinkers, the future savers of the world, the freedom chasers and all those demanding better, cleaner energy.","SunPower
3.9"
"Data Scientist, Freemium Innovation",$95K - $206K (Glassdoor est.),"Data, Research & Insights
Data Science
We’re looking for a Data Scientist to join a team leading efforts to further expand our customer offering for Spotify.
Location
New York or Remote Americas
Job type
Permanent
With a focus on innovation projects, you will be part of a small, agile, and constantly evolving team, working to identify and execute upon growth opportunities that meet our ambitious commercial and user experience goals.","Spotify
4.2"
Sr Data Scientist,Employer Provided Salary:$100K - $135K,"Title: :Sr Data Scientist@ Atlanta, GA
Terms of Hire: Full Time.
Salary: $ 100,000–$135,000/ YR + Benefits.

Job description::
Job Specific Experience Required/Preferred for the Role:
Master’s degree or higher in mathematics or economics. At least five years employment experience past that masters in a data science or other analytics field.
Prior experience deploying models in production. Preferably skill sets in Kubeflow or another distributed ecosystem deployment system for machine learning.
Prior experience working for one of the following:
What Part Will You Play?
What Are We Looking for in This Role?
Minimum Qualifications
What Are Our Desired Skills and Capabilities?
You Will Enjoy:
All applications will be kept strictly confidential and once shortlisted, our team will be in touch with you for further discussions.",CEDENT
"Senior Data Scientist, Analytics - Growth",$85K - $164K (Glassdoor est.),"Discord is looking for an experienced and self-driven Data Scientist to join our Growth Data Science team. Growth Data Scientists partner closely with our Growth partners (PMs, Engineering, Design) to build features that can welcome, delight, and retain our users. Our goal is to grow the number of users who are actively using Discord and getting value from it. If helping make Discord an even better place to hang out with your friends and communities sounds like an exciting challenge - we'd love to chat with you! Check out our blog about how our team informs strategy &amp; innovation at Discord&nbsp;here! What You’ll Be Doing: Partner with teams through the full lifecycle of data analytics from ideation and exploratory analysis, to building dashboards and reports Be a champion of A/B testing and help groups throughout the company design, analyze, and interpret A/B tests correctly Define KPIs and diagnostic metrics that help improve the user experience, encapsulating these measures in clean crisp dashboards that provide the company with timely and actionable information Dive deep in our data to understand our users, analyze patterns, identify emerging trends, and surface recommendations that will shape the future of our product roadmap Use our amazing infrastructure to quickly and easily build custom data sets to monitor novel product features and processes Collaborate with data and engineering teams to design scalable and future-proof instrumentation&nbsp; You Will Thrive In This Role If You Have: 4+ years of experience autonomously translating ambiguous business problems into deep informative insights through hands-on analytics 4+ years experience writing excellent SQL 3+ years of experience in the design, analysis, and interpretation of A/B tests in a large data environment 2+ years querying from large, complex data warehouses like Snowflake, Hive, or BigQuery. 2+ years of experience building performant dashboards using Tableau, Looker, or similar software - with proficiency in designing clean crisp visualizations Excellent communication skills, with the ability to translate complicated findings or technical approaches in easy-to-understand ways A desire to work in a fast-paced environment with many unsolved problems! &nbsp; Bonus Points: Experience with writing production ETL&nbsp; Experience with technical leadership, being the point person for one or more stakeholder groups Experience with data collection, modeling, or analysis for complex user funnels. Including sign-in/sign-up, new user onboarding, account setup, etc. Experience with statistical analysis using R, Python, or advanced SQL.&nbsp; Passion for Discord or online communities&nbsp; #LI-JF1Benefits and Perks - Eligible to Fulltime Employees Comprehensive medical insurance including Health, Dental and Vision (plus up to $20,000 for gender affirmation procedures) Mental health resources and quarterly wellness stipends 16+ paid holidays, 4 weeks of PTO + use-what-you-need sick days&nbsp; Paid parental leave (plus fertility, adoption and other family planning benefits) Generous stipends for headphones, your remote work setup, and lunch on a daily basis (while we’re all remote)&nbsp; Flexible long-term work options (remote and hybrid) Volunteer time off A diverse slate of Employee Resource Groups&nbsp; Plus commuter contributions and other perks for office-based employees About Us Discord is a voice, video and text app that helps friends and communities come together to hang out and explore their interests — from artists and activists, to study groups, sneakerheads, plant parents, and more. With 150 million monthly users across 19 million active communities, called servers, Discord has grown to become one of the most popular communications services in the world. Discord was built without selling ads or user data and instead, offers a premium subscription called Nitro that gives users special perks like higher quality streams and fun customizations. We’re working toward an inclusive world where no one feels like an outsider, where genuine human connection is a click, text chat, or voice call away. A place where everyone can find belonging. Challenging? Heck yes. Rewarding? Double heck yes. It’s a mission that gives us the chance to positively impact millions of people all over the world. So if this strikes a chord with you, come build belonging with us!", 
"Data Scientist - Tiktok Ads, Growth Marketing",$102K - $211K (Glassdoor est.),"TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul and Tokyo.

The mission of TikTok Ads Platform is to connect global advertisers and users, advertisers of any industry and experience level are able to get suitable marketing solutions, then easily create, manage and optimize ads. The vision is to build an easy-to-understand, easy-to-use and powerful Ads Platform.

The Ad Growth team is responsible for driving advertising growth on TikTok platform. We achieve it by acquiring and retaining advertisers through brand marketing, performance marketing, organic growth initiatives and customer management. We build products that allow us to reach more audiences, improve targeting, optimize bidding, better measure incrementally.


We are looking for experienced Data Scientists to influence the product roadmaps for the Ad Growth team.
TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We believe individuals shouldn't be disadvantaged because of their background or identity, but instead should be considered based on their strengths and experience. We are passionate about this and hope you are too.
TikTok is committed to providing reasonable accommodations during our recruitment process. If you need assistance or an accommodation, please reach out to us at USRC@tiktok.com.","TikTok
3.5"
Sr. Data Scientist,Employer Provided Salary:$85 Per Hour,"Responsibilities:
Ability to demonstrate algorithm development and predictive modeling to solve problems.
Domain knowledge of manufacturing processes or work experience in manufacturing support roles such as Engineering and Operations.
Must have experience with AWS.
Must have SCRUM Certification.
Ability to perform as a technical lead providing technical coaching and mentoring to others.
Proven consulting skills and experience, influence effectively, ability to resolve impediments in a timely manner.",Spotline Inc
Machine Learning Engineer,Employer Provided Salary:$65 - $75 Per Hour,"Machine Learning Engineer
24+ Months
Skills:
3+ years of experience in Machine learning model development and deployment.
2+ years of experience in Python development
1+ years of experience with Azure/GCP cloud Big Data concepts
Azure SQL Data Warehouse.
Proficiency in Machine Learning models - Time Series, Collaborative Filtering Helpdesk support experience is a plus
Strong analytical skills with troubleshooting abilities.","Integration Developer Network LLC
5.0"
Data Scientist II,Employer Provided Salary:$140K - $155K,"Must have an in-depth knowledge of advanced statistical techniques, machine learning, feature engineering, and model evaluation techniques including regressions, cluster analysis test design, variable reduction, non-parametric tests and forecasting methodologies.
· A working knowledge of data privacy, COPPA, CCPA and GDPR.
· Experience with A/B testing and test designs
· Experience with big data, standardizing and appending variables across disparate data sets
· Experience analyzing user level data (PII and anonymized), DMP data, social data and viewing / transactional or streaming data.","KBS Solutions
4.6"
Senior Data Scientist - Remote,Employer Provided Salary:$65 - $75 Per Hour,"TARA INFORMATION SYSTEMS is looking for experienced Data Scientist for our Remote client in Central USA.
Work Location: Anywhere in USA
Consultant would be able to participate in lot of meetings to gather the requirements and working with the end users. Should be able to work in Agile model and able to participate in meetings for 4-5 hrs daily.
Job Responsibilities
As a Data Scientist, your primary responsibilities include the following, but not limited to:
Analyze large amounts of data and identify anomalies, recognize patterns, and provide business level insights",TARA INFORMAITON SYSTEMS
Remote Sensing Data Scientist - $150k/yr,Employer Provided Salary:$140K - $150K,"The Remote Sensing Data Scientist will design and test algorithms, conduct prototyping to evaluate possible scenarios leveraging computational and statistical techniques for the development of novel approaches for remotely sensed data.
Qualifications
o a PhD and 5 years of academic or industrial experience OR
o Masters degree and 9 years of academic or industrial experience
Remote Sensing : You are an expert in working with remotely sensed images. You have deep understating of images from different satellite constellations and experience extracting insights from satellite imagery.
Programming: You are proficient in Python or other high level programming language. You are also capable of writing clean code.",Bayer
"Data Scientist, Infrastructure",$120K - $220K (Glassdoor est.),"About Pinterest:
Millions of people across the world come to Pinterest to find new ideas every day. It's where they get inspiration, dream about new possibilities and plan for what matters most. Our mission is to help those people find their inspiration and create a life they love. In your role, you'll be challenged to take on work that upholds this mission and pushes Pinterest forward. You'll grow as a person and leader in your field, all the while helping Pinners make their lives better in the positive corner of the internet.
We're looking for an analytical thinker to help us understand how our infrastructure costs scale with our business. You will work closely with the Infrastructure Governance group and a cross functional team of engineering, product and finance stakeholders to increase visibility into our infrastructure related trends and to suggest actions we can take to make it more predictable over time. The ideal candidate will possess both strong technical and analytical skills; be able to communicate technical details, at a level appropriate for the audience.","Pinterest
4.2"
Data Scientist - Entry Level,$60K - $127K (Glassdoor est.),"Company Description
Govini is a decision science firm dedicated to transforming the business of national security through data science and machine learning. Through its data and analytic platform, Govini delivers objective, decision-grade information at scale to the national security enterprise, so that leaders can better direct investments to innovation and modernization. Govini has offices in Arlington, Virginia, San Francisco, California, and Pittsburgh, Pennsylvania.

We are seeking an inquisitive data scientist to join our team and work with our various datasets to find connections, knowledge, and potential issues in order to help our government clients make more informed decisions.
Your role on the Data Science team will be primarily focused on our large datasets, and you will design and implement scalable statistical systems based on your analysis. You will have the opportunity to expand and grow data-driven research across Govini, and lead new areas to apply advanced analytics to drive business results.","Govini
3.6"
Sr. Data Scientist - 100% Remote,$57K - $131K (Glassdoor est.),"Company Description

Sr. Data Scientist - 100% Remote
Remote Work (Only candidates between GMT-3 and GMT+3)
Full-time
Retail Company

Company Description
Our client is a Polish retailer company that focuses on convenience and deli-type stores.",EVB
"Data Synthesis Engineer/Scientist, Autopilot Simulation",$78K - $174K (Glassdoor est.),"The Role:
Autopilot is of critical importance to Tesla's mission. It is safer, makes driving more enjoyable, and will ultimately deliver on the promise of self-driving cars. As a member of Tesla's Autopilot Simulation team, you will be in a unique position to accelerate the pace at which Autopilot improves over time. The main ways in which the simulation team realizes this include:
Building tools that enable Autopilot software developers to perform virtual test drives instead of real ones.
Testing all Autopilot software releases for regressive behavior.
Generating synthetic datasets for neural network training
As a Data Science Engineer, you will work on using the simulator to generate synthetic datasets for training the in-car neural networks. Data is a key ingredient in deep learning systems. Although Tesla largely relies on the fleet for data, simulated data provides some unique additional advantages. This role involves a variety of activities including: making improvements to the underlying simulator, procedurally generating and curating data that is as varied, realistic, and useful as possible, running neural network training experiments and iterating on metrics, and more broadly expanding the scope of these processes and supporting related simulation efforts.","Tesla
3.7"
Associate Data Scientist,Employer Provided Salary:$90K - $110K,"External Job Title : Associate Data Scientist
Reports to : Anand Kolatkar – Dir. Of Data Science Infrastructure
Job Summary :
The University of Southern California (USC), founded in 1880, is located in the heart of downtown L.A. and is the largest private employer in the City of Los Angeles. As an employee of USC, you will be a part of a world-class research university and a member of the “Trojan Family,"" which comprises the faculty, students, and staff that make the university what it is.
The USC Michelson Center Convergent Science Institute in Cancer (CSI-Cancer) is studying circulating tumor cells (CTCs) and other analytes in the liquid biopsies (blood, bone marrow aspirates, and other liquids) of cancer patients as an approach to manage cancer care. CSI-Cancer is led by Prof. Peter Kuhn as Director and Prof. James Hicks as Deputy Director and joined by a senior staff leadership team. Our data science driven single-cell multi-omic approach allows us to look at the morphology, proteome, and genome of these CTCs individually. Collectively, this information permits an understanding of the disease in hopes of enabling personalized care in oncology.

Minimum Education: Bachelor's degree Combined experience/education as substitute for minimum education Minimum Experience: 2 years Minimum Field of Expertise: Experience using statistical computer languages (e.g., R, Python, SQL) to manipulate data and draw insights from large data sets. Experience working with and creating data models and data architecture, and using data visualization tools (e.g., Tableau, ArcGIS, D3.js). Knowledge of current data modeling tools and various machine-learning techniques and algorithms (e.g., clustering, decision-tree learning, artificial neural networks). Experience scripting and programming in several languages with common data science toolkits. Proficient use of query languages (e.g., SQL, MDX) and experience working with relational (e.g., MySQL, SQL Server, Oracle, Snowflake, Redshift) and non-relational (e.g., Mongo, NoSQL) databases. Knowledge of applied, statistical concepts and techniques skills (e.g., distributions, statistical testing, regression). Excellent written and oral communication skills. Ability to provide both detailed information and summaries to management-level individuals and groups. Experience developing customer relationships and delivering customer-focused service. Proven problem-solving and decision-making skills, and the ability to uncover root cause and evaluate different solution options.","USC
4.3"
Sr. Data Scientist - Dataworks - Remote,Employer Provided Salary:$95K - $136K,"Company: FedEx Services
Job Title: Sr. Data Scientist - Dataworks - Remote
Job Requisition Number: RC488513
Category: Decision Science & Analytics
Pay Type: Exempt
Locations:
Remote, Tennessee 38120
United States

Colorado Residents Only – Compensation: Monthly Salary $7912.24 - $11371.75
The estimate displayed represents the typical salary range or starting rate of candidates hired in Colorado. Factors that may be used to determine your actual salary may include your specific skills, your work location, how many years of experience you have, and comparison to other employees already in this role. This information is provided to applicants in accordance to the Colorado Equal Pay for Equal Work Act.




































Master’s Degree or equivalent in computer science, operations research, statistics, applied mathematics or related quantitative discipline. Directly related PhD preferred. Four (4) years’ work experience in applying data science (machine learning, artificial intelligence, statistical analysis), operations research (optimization, algorithms, mathematical modeling), and data analytics modeling to decrease cost, increase profitability, and improve customer experience. Extensive knowledge in advanced data science and machine learning tools and methods, including the iterative development of analysis pipelines to provide insights at scale. Extensive knowledge and experience in conducting end-to end analyses, including data gathering and requirements specification, processing, analysis, and presentations. Strong understanding of the transportation industry, competitors, and evolving technologies. Experience providing some level of leadership in a general planning or consulting setting. Experience as a leader or a senior member of multi-functional project teams. Strong oral and written communication skills. A related advanced degree may offset the related experience requirements.


This position can be domiciled anywhere in the United States.
The ability to work remotely within the United States may be available based on business need.
Relocation assistance may be available based on business need.


Upload current copy of Resume (Microsoft Word or PDF format only) and answer job screening questionnaire by 5:00 PM CST on Monday, March 14, 2022.","FedEx Services
4.2"
Sr. Data Scientist - Consumer Decision Science,Employer Provided Salary:$136K - $204K,"Why Glassdoor?
Our mission is to help people everywhere find a job and company they love. In the process, we're transforming the workplace experience through the power of transparency and further cementing ourselves as the worldwide leader in employer branding and insights. By choosing a career at Glassdoor, you'll be directly contributing toward our vision for a world where transparency empowers the workforce and motivates companies to become better employers.
Please note: This role may be open to remote hiring. Our office locations are in San Francisco, CA; Chicago, IL; Uniontown, OH; London, UK; and Dublin, Ireland.
Data Scientist - Consumer Decision Science","Glassdoor
4.0"
Statistician,Employer Provided Salary:$94K - $123K,"Help
This job is open to
The public
U.S. Citizens, Nationals or those who owe allegiance to the U.S.
Clarification from the agency
Open to all U.S. Citizens. This announcement will be utilized to fill positions through the Direct Hire Authority.","US Customs and Border Protection
3.8"
Data Scientist,Employer Provided Salary:$60 - $90 Per Hour,"· Strong problem-solving skills with an emphasis on product development.
· Experience with building NLP based models for text mining using python
· Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.
· Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.
· Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
· Excellent written and verbal communication skills for coordinating across teams.",Mars Consulting
Data Scientist,Employer Provided Salary:$40 - $60 Per Hour,"Job Title: Data Scientist
Responsibilities:
REQUIRED
Comfortable building and maintaining data pipelines using SQL and Python.
Storage of Machine Learning flow models, data, and parameters
Translating business requirements into technical solutions
Track record of partnering with Data Scientists to deliver on business goals
Bonus Points","WorkCog
4.2"
"Senior Data Scientist, Insights Platform",$111K - $214K (Glassdoor est.),"Data, Research & Insights
Data Science
The Platform team creates the technology that enables Spotify to learn quickly and scale easily, enabling rapid growth in our users and our business around the globe. Spanning many disciplines, we work to make the business work; creating the frameworks, capabilities and tools needed to welcome a billion customers. Join us and help to amplify productivity, quality and innovation across Spotify.
Location
New York or Remote Americas
Job type
Permanent","Spotify
4.2"
Data Scientist,Employer Provided Salary:$117K,"Become a Part of the NIKE, Inc. Team
NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game.
Analytics is a competitive differentiator for Nike and is fundamentally changing how the company serves athletes and consumers around the world. The Nike Commercial Analytics team builds analytic-based solutions to manage marketplace and optimize the supply chain. Using big data, advanced analytics and state-of-the-art technology, the team strives to ensure that Nike gets the right product to the right place at the right time for the consumers.","Nike
4.2"
"Senior Data Scientist, Analytics - Growth",$85K - $164K (Glassdoor est.),"Discord is looking for an experienced and self-driven Data Scientist to join our Growth Data Science team. Growth Data Scientists partner closely with our Growth partners (PMs, Engineering, Design) to build features that can welcome, delight, and retain our users. Our goal is to grow the number of users who are actively using Discord and getting value from it. If helping make Discord an even better place to hang out with your friends and communities sounds like an exciting challenge - we'd love to chat with you! Check out our blog about how our team informs strategy &amp; innovation at Discord&nbsp;here! What You’ll Be Doing: Partner with teams through the full lifecycle of data analytics from ideation and exploratory analysis, to building dashboards and reports Be a champion of A/B testing and help groups throughout the company design, analyze, and interpret A/B tests correctly Define KPIs and diagnostic metrics that help improve the user experience, encapsulating these measures in clean crisp dashboards that provide the company with timely and actionable information Dive deep in our data to understand our users, analyze patterns, identify emerging trends, and surface recommendations that will shape the future of our product roadmap Use our amazing infrastructure to quickly and easily build custom data sets to monitor novel product features and processes Collaborate with data and engineering teams to design scalable and future-proof instrumentation&nbsp; You Will Thrive In This Role If You Have: 4+ years of experience autonomously translating ambiguous business problems into deep informative insights through hands-on analytics 4+ years experience writing excellent SQL 3+ years of experience in the design, analysis, and interpretation of A/B tests in a large data environment 2+ years querying from large, complex data warehouses like Snowflake, Hive, or BigQuery. 2+ years of experience building performant dashboards using Tableau, Looker, or similar software - with proficiency in designing clean crisp visualizations Excellent communication skills, with the ability to translate complicated findings or technical approaches in easy-to-understand ways A desire to work in a fast-paced environment with many unsolved problems! &nbsp; Bonus Points: Experience with writing production ETL&nbsp; Experience with technical leadership, being the point person for one or more stakeholder groups Experience with data collection, modeling, or analysis for complex user funnels. Including sign-in/sign-up, new user onboarding, account setup, etc. Experience with statistical analysis using R, Python, or advanced SQL.&nbsp; Passion for Discord or online communities&nbsp; #LI-JF1Benefits and Perks - Eligible to Fulltime Employees Comprehensive medical insurance including Health, Dental and Vision (plus up to $20,000 for gender affirmation procedures) Mental health resources and quarterly wellness stipends 16+ paid holidays, 4 weeks of PTO + use-what-you-need sick days&nbsp; Paid parental leave (plus fertility, adoption and other family planning benefits) Generous stipends for headphones, your remote work setup, and lunch on a daily basis (while we’re all remote)&nbsp; Flexible long-term work options (remote and hybrid) Volunteer time off A diverse slate of Employee Resource Groups&nbsp; Plus commuter contributions and other perks for office-based employees About Us Discord is a voice, video and text app that helps friends and communities come together to hang out and explore their interests — from artists and activists, to study groups, sneakerheads, plant parents, and more. With 150 million monthly users across 19 million active communities, called servers, Discord has grown to become one of the most popular communications services in the world. Discord was built without selling ads or user data and instead, offers a premium subscription called Nitro that gives users special perks like higher quality streams and fun customizations. We’re working toward an inclusive world where no one feels like an outsider, where genuine human connection is a click, text chat, or voice call away. A place where everyone can find belonging. Challenging? Heck yes. Rewarding? Double heck yes. It’s a mission that gives us the chance to positively impact millions of people all over the world. So if this strikes a chord with you, come build belonging with us!","Discord
4.4"
Sr. Data Scientist,$93K - $193K (Glassdoor est.),"Why PlayStation?
PlayStation isn't just the Best Place to Play — it's also the Best Place to Work. Today, we're recognized as a global leader in entertainment producing The PlayStation family of products and services including PlayStation®5, PlayStation®4, PlayStation®VR, PlayStation®Plus, PlayStation™Now, acclaimed PlayStation software titles from PlayStation Studios, and more.
PlayStation also strives to create an inclusive environment that empowers employees and embraces diversity. We welcome and encourage everyone who has a passion and curiosity for innovation, technology, and play to explore our open positions and join our growing global team.
The PlayStation brand falls under Sony Interactive Entertainment, a wholly-owned subsidiary of Sony Corporation.","PlayStation Global
4.0"
"Staff Data Scientist, Platform",Employer Provided Salary:$150K,"To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.
Job Category
Products and Technology
Job Details

Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records.
As a federal contractor, Salesforce is required to verify that all US-based employees are fully vaccinated against COVID-19. If you receive an offer and are unable to get vaccinated for religious or medical reasons, you may request a reasonable accommodation.","Slack
4.6"
NLP Data Scientist,$73K - $145K (Glassdoor est.),"About Us
Nativo empowers brands and publishers with the world's most advanced technology for content. For brands, we enable storytelling at scale with the largest native reach and insights that unlock return-on-content. For publishers, we enrich monetization with the most comprehensive platform for next-generation ad formats and breakthrough technology for accelerated web pages. Our mission is to equip advertising for the age of content, improving the open web experience and creating meaningful connections with today's digital consumer.
At Nativo, our values are more than words—we live them through the way we work and collaborate. We are innovators and risk takers driven by curiosity and an entrepreneurial spirit to architect the future of advertising. The key to our success is connection through close communication, teamwork and a shared company culture that reflects the diversity of our clients ,our communities and ourselves.","Nativo
4.0"
"Staff Data Scientist, Platform",Employer Provided Salary:$150K,"To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.
Job Category
Products and Technology
Job Details
We are looking for an experienced Data Scientist to support the Platform product area at Slack. The Platform ecosystem is a critical component of Slack’s strategy to become the place where work happens. It enables users to truly customize Slack and integrate their everyday tools to streamline and speed up work!

Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records.
As a federal contractor, Salesforce is required to verify that all US-based employees are fully vaccinated against COVID-19. If you receive an offer and are unable to get vaccinated for religious or medical reasons, you may request a reasonable accommodation.","Salesforce
4.5"
"Data Scientist, Freemium Innovation",$95K - $206K (Glassdoor est.),"Data, Research & Insights
Data Science
We’re looking for a Data Scientist to join a team leading efforts to further expand our customer offering for Spotify.
Location
New York or Remote Americas
Job type
Permanent
With a focus on innovation projects, you will be part of a small, agile, and constantly evolving team, working to identify and execute upon growth opportunities that meet our ambitious commercial and user experience goals.","Spotify
4.2"
